Dataset: ;Last updated: ;Time frequency;Unit of measure;International classification of crime for statistical purposes (ICCS);Region;Year;Value;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Sigmaringen;2010.0;1.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bayern;2008;89;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bayern;2009;91;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bayern;2010.0;74.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Ingolstadt, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Ingolstadt, Kreisfreie Stadt;2009;0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Ingolstadt, Kreisfreie Stadt;2010.0;3.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;München, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;München, Kreisfreie Stadt;2009;7;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;München, Kreisfreie Stadt;2010.0;9.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Rosenheim, Kreisfreie Stadt;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Rosenheim, Kreisfreie Stadt;2009;2;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Rosenheim, Kreisfreie Stadt;2010.0;2.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Altötting;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Altötting;2009;2;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Altötting;2010.0;0.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Berchtesgadener Land;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Berchtesgadener Land;2009;0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Berchtesgadener Land;2010.0;0.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bad Tölz-Wolfratshausen;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bad Tölz-Wolfratshausen;2009;1;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Bad Tölz-Wolfratshausen;2010.0;0.0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Dachau;2008;:;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Dachau;2009;0;
Crimes recorded by the police by NUTS 3 regions [CRIM_GEN_REG__custom_6393091];17/09/2015 23:00;Annual;Number;Intentional homicide;Dachau;2010.0;0.0;
