Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oberspreewald-Lausitz;2022;1223;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Oder-Spree;2022;2257;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Ostprignitz-Ruppin;2022;2527;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Potsdam-Mittelmark;2022;2592;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Prignitz;2022;2139;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Spree-Neiße;2022;1657;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Teltow-Fläming;2022;2104;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Uckermark;2022;3077;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bremen;2022;420;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bremen;2022;420;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bremen, Kreisfreie Stadt;2022;326;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Bremerhaven, Kreisfreie Stadt;2022;94;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hamburg;2022;755;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hamburg;2022;755;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hamburg;2022;755;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Hessen;2022;21115;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Darmstadt;2022;7445;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Total area;Square kilometre;Darmstadt, Kreisfreie Stadt;2022;122;
