Dataset: ;Last updated: ;Time frequency;Land use;Unit of measure;Region;Year;Value;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Fürth, Kreisfreie Stadt;2022;63;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Nürnberg, Kreisfreie Stadt;2022;185;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwabach, Kreisfreie Stadt;2022;41;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ansbach, Landkreis;2022;1971;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Erlangen-Höchstadt;2022;558;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Fürth, Landkreis;2022;307;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Nürnberger Land;2022;799;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neustadt an der Aisch-Bad Windsheim;2022;1267;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Roth;2022;891;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Weißenburg-Gunzenhausen;2022;956;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Unterfranken;2022;8495;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Aschaffenburg, Kreisfreie Stadt;2022;61;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schweinfurt, Kreisfreie Stadt;2022;35;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Würzburg, Kreisfreie Stadt;2022;87;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Aschaffenburg, Landkreis;2022;695;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bad Kissingen;2022;1137;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rhön-Grabfeld;2022;1022;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Haßberge;2022;951;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kitzingen;2022;681;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Miltenberg;2022;708;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Main-Spessart;2022;1313;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schweinfurt, Landkreis;2022;838;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Würzburg, Landkreis;2022;967;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwaben;2022;9886;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Augsburg, Kreisfreie Stadt;2022;147;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kaufbeuren, Kreisfreie Stadt;2022;40;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kempten (Allgäu), Kreisfreie Stadt;2022;63;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Memmingen, Kreisfreie Stadt;2022;70;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Aichach-Friedberg;2022;778;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Augsburg, Landkreis;2022;1070;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Dillingen an der Donau;2022;780;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Günzburg;2022;757;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Neu-Ulm;2022;512;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lindau (Bodensee);2022;284;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ostallgäu;2022;1371;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Unterallgäu;2022;1227;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Donau-Ries;2022;1268;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberallgäu;2022;1519;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Berlin;2022;846;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Berlin;2022;846;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Berlin;2022;846;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Brandenburg;2022;29022;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Brandenburg;2022;29022;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Brandenburg an der Havel, Kreisfreie Stadt;2022;196;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Cottbus, Kreisfreie Stadt;2022;165;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Frankfurt (Oder), Kreisfreie Stadt;2022;144;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Potsdam, Kreisfreie Stadt;2022;171;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Barnim;2022;1434;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Dahme-Spreewald;2022;2208;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Elbe-Elster;2022;1883;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Havelland;2022;1706;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Märkisch-Oderland;2022;2128;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberhavel;2022;1772;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberspreewald-Lausitz;2022;1165;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oder-Spree;2022;2204;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ostprignitz-Ruppin;2022;2474;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Potsdam-Mittelmark;2022;2548;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Prignitz;2022;2122;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Spree-Neiße;2022;1630;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Teltow-Fläming;2022;2089;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Uckermark;2022;2983;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bremen;2022;391;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bremen;2022;391;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bremen, Kreisfreie Stadt;2022;310;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bremerhaven, Kreisfreie Stadt;2022;81;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hamburg;2022;710;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hamburg;2022;710;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hamburg;2022;710;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hessen;2022;21038;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Darmstadt;2022;7395;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Darmstadt, Kreisfreie Stadt;2022;122;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Frankfurt am Main, Kreisfreie Stadt;2022;245;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Offenbach am Main, Kreisfreie Stadt;2022;44;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wiesbaden, Kreisfreie Stadt;2022;199;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bergstraße;2022;711;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Darmstadt-Dieburg;2022;658;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Groß-Gerau;2022;442;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hochtaunuskreis;2022;482;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Main-Kinzig-Kreis;2022;1394;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Main-Taunus-Kreis;2022;221;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Odenwaldkreis;2022;624;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Offenbach, Landkreis;2022;353;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rheingau-Taunus-Kreis;2022;800;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wetteraukreis;2022;1100;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Gießen;2022;5376;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Gießen, Landkreis;2022;853;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lahn-Dill-Kreis;2022;1065;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Limburg-Weilburg;2022;738;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Marburg-Biedenkopf;2022;1262;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Vogelsbergkreis;2022;1458;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kassel;2022;8267;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kassel, Kreisfreie Stadt;2022;106;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Fulda;2022;1380;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hersfeld-Rotenburg;2022;1097;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kassel, Landkreis;2022;1293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwalm-Eder-Kreis;2022;1535;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Waldeck-Frankenberg;2022;1834;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Werra-Meißner-Kreis;2022;1022;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mecklenburg-Vorpommern;2022;22575;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mecklenburg-Vorpommern;2022;22575;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rostock, Kreisfreie Stadt;2022;180;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schwerin, Kreisfreie Stadt;2022;95;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mecklenburgische Seenplatte;2022;5119;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Landkreis Rostock;2022;3376;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Vorpommern-Rügen;2022;3180;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Nordwestmecklenburg;2022;2063;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Vorpommern-Greifswald;2022;3900;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ludwigslust-Parchim;2022;4662;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Niedersachsen;2022;47363;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Braunschweig;2022;8087;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Braunschweig, Kreisfreie Stadt;2022;192;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Salzgitter, Kreisfreie Stadt;2022;221;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wolfsburg, Kreisfreie Stadt;2022;204;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Gifhorn;2022;1566;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Göttingen (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Goslar;2022;959;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Helmstedt;2022;674;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Northeim;2022;1266;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Osterode am Harz (NUTS 2013);2022;:;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Peine;2022;532;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wolfenbüttel;2022;723;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Göttingen;2022;1750;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hannover;2022;8991;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Diepholz;2022;1975;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hameln-Pyrmont;2022;795;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Hildesheim;2022;1204;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Holzminden;2022;693;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Nienburg (Weser);2022;1389;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Schaumburg;2022;673;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Region Hannover;2022;2262;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lüneburg;2022;15387;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Celle;2022;1547;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Cuxhaven;2022;2038;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Harburg;2022;1239;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lüchow-Dannenberg;2022;1216;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Lüneburg, Landkreis;2022;1314;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Osterholz;2022;646;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rotenburg (Wümme);2022;2071;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heidekreis;2022;1881;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Stade;2022;1188;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Uelzen;2022;1463;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Verden;2022;784;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Weser-Ems;2022;14898;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Delmenhorst, Kreisfreie Stadt;2022;62;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Emden, Kreisfreie Stadt;2022;109;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oldenburg (Oldenburg), Kreisfreie Stadt;2022;102;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Osnabrück, Kreisfreie Stadt;2022;120;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wilhelmshaven, Kreisfreie Stadt;2022;104;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Ammerland;2022;724;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Aurich;2022;1279;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Cloppenburg;2022;1415;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Emsland;2022;2873;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Friesland (DE);2022;606;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Grafschaft Bentheim;2022;981;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Leer;2022;1067;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oldenburg, Landkreis;2022;1063;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Osnabrück, Landkreis;2022;2118;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Vechta;2022;814;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wesermarsch;2022;806;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wittmund;2022;655;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Nordrhein-Westfalen;2022;33840;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Düsseldorf;2022;5170;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Düsseldorf, Kreisfreie Stadt;2022;206;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Duisburg, Kreisfreie Stadt;2022;214;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Essen, Kreisfreie Stadt;2022;207;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Krefeld, Kreisfreie Stadt;2022;135;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mönchengladbach, Kreisfreie Stadt;2022;170;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mülheim an der Ruhr, Kreisfreie Stadt;2022;91;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberhausen, Kreisfreie Stadt;2022;77;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Remscheid, Kreisfreie Stadt;2022;74;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Solingen, Kreisfreie Stadt;2022;90;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wuppertal, Kreisfreie Stadt;2022;168;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Kleve;2022;1205;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Mettmann;2022;403;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rhein-Kreis Neuss;2022;566;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Viersen;2022;559;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Wesel;2022;1005;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Köln;2022;7293;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Bonn, Kreisfreie Stadt;2022;136;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Köln, Kreisfreie Stadt;2022;388;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Leverkusen, Kreisfreie Stadt;2022;76;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Düren;2022;934;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rhein-Erft-Kreis;2022;700;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Euskirchen;2022;1244;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Heinsberg;2022;626;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Oberbergischer Kreis;2022;910;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rheinisch-Bergischer Kreis;2022;433;
Area by NUTS 3 region [REG_AREA3__custom_6392924];31/01/2023 23:00;Annual;Land area - Total;Square kilometre;Rhein-Sieg-Kreis;2022;1144;
