NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
DE91;Braunschweig;13.586477812263206;PM10;52345;52704;µg/m3
DE50;Bremen;16.114138197939695;PM10;61215;61488;µg/m3
DE50;Bremerhaven;16.114138197939695;PM10;61215;61488;µg/m3
DED4;Chemnitz;14.31791385433954;PM10;27234;27816;µg/m3
DE40;Cottbus;13.698997351506481;PM10;88466;88572;µg/m3
DE71;Darmstadt;15.805315662209892;PM10;105634;106378;µg/m3
DEA5;Dortmund;18.64844508709889;PM10;26143;26533;µg/m3
DED2;Dresden;14.757876501229998;PM10;35807;36600;µg/m3
DEA1;Duisburg;17.617270938057644;PM10;141562;151156;µg/m3
DEA1;Dusseldorf;17.617270938057644;PM10;141562;151156;µg/m3
DEG0;Erfurt;14.186839021231222;PM10;61313;61488;µg/m3
DEA1;Essen;17.617270938057644;PM10;141562;151156;µg/m3
DEF0;Flensburg;15.626212689225984;PM10;43175;44652;µg/m3
DE40;Frankfurt (Oder);13.698997351506481;PM10;88466;88572;µg/m3
DE71;Frankfurt am Main;15.805315662209892;PM10;105634;106378;µg/m3
DE13;Freiburg im Breisgau;13.030068918261367;PM10;27369;27450;µg/m3
DE14;Friedrichshafen;15.23106822215827;PM10;54749;54900;µg/m3
DE73;Fulda;16.24765048187014;PM10;35084;35258;µg/m3
DE25;Furth;18.43620701782004;PM10;17421;17568;µg/m3
DEA3;Gelsenkirchen;23.39871389787887;PM10;8920;9150;µg/m3
DE72;Giessen;14.533547396397934;PM10;35121;35258;µg/m3
DED2;Gorlitz;14.757876501229998;PM10;35807;36600;µg/m3
DE91;Gottingen;13.586477812263206;PM10;52345;52704;µg/m3
DEA5;Hagen;18.64844508709889;PM10;26143;26533;µg/m3
DE60;Hamburg;16.642169203923313;PM10;60092;61488;µg/m3
DE71;Hanau;15.805315662209892;PM10;105634;106378;µg/m3
DE92;Hannover;14.23873831489572;PM10;26185;26352;µg/m3
DE12;Heidelberg;15.149430413846563;PM10;45506;45750;µg/m3
DE11;Heilbronn;17.47677772662721;PM10;46093;46482;µg/m3
DE92;Hildesheim;14.23873831489572;PM10;26185;26352;µg/m3
DE21;Ingolstadt;16.587620346943503;PM10;43844;43920;µg/m3
DEG0;Jena;14.186839021231222;PM10;61313;61488;µg/m3
DEB3;Kaiserslautern;16.707322505524182;PM10;50585;53604;µg/m3
DE12;Karlsruhe;15.149430413846563;PM10;45506;45750;µg/m3
DE73;Kassel;16.24765048187014;PM10;35084;35258;µg/m3
DEF0;Kiel;15.626212689225984;PM10;43175;44652;µg/m3
DEB1;Koblenz;15.15440725249033;PM10;8248;8784;µg/m3
DE13;Konstanz;13.030068918261367;PM10;27369;27450;µg/m3
DEA1;Krefeld;17.617270938057644;PM10;141562;151156;µg/m3
DEA2;Koln;14.921665387742614;PM10;78399;79971;µg/m3
DE22;Landshut;15.573563075290497;PM10;17526;17568;µg/m3
DED5;Leipzig;15.546191982930353;PM10;26330;27450;µg/m3
DEA2;Leverkusen;14.921665387742614;PM10;78399;79971;µg/m3
DE11;Ludwigsburg;17.47677772662721;PM10;46093;46482;µg/m3
DEB3;Ludwigshafen am Rhein;16.707322505524182;PM10;50585;53604;µg/m3
DEF0;Lubeck;15.626212689225984;PM10;43175;44652;µg/m3
DE93;Luneburg;12.219584749837955;PM10;8760;8784;µg/m3
DEE0;Magdeburg;16.94743862600658;PM10;26502;26718;µg/m3
DEB3;Mainz;16.707322505524182;PM10;50585;53604;µg/m3
DE12;Mannheim;15.149430413846563;PM10;45506;45750;µg/m3
DE72;Marburg;14.533547396397934;PM10;35121;35258;µg/m3
DEA1;Monchengladbach;17.617270938057644;PM10;141562;151156;µg/m3
DEA1;Mulheim a.d.Ruhr;17.617270938057644;PM10;141562;151156;µg/m3
DE21;Munchen;16.587620346943503;PM10;43844;43920;µg/m3
DE80;Neubrandenburg;16.017851366079324;PM10;52829;53070;µg/m3
DE25;Nurnberg;18.43620701782004;PM10;17421;17568;µg/m3
DEA1;Oberhausen;17.617270938057644;PM10;141562;151156;µg/m3
DE71;Offenbach am Main;15.805315662209892;PM10;105634;106378;µg/m3
DE94;Oldenburg (Oldenburg);15.05752767925302;PM10;26033;26352;µg/m3
DE94;Osnabruck;15.05752767925302;PM10;26033;26352;µg/m3
DE22;Passau;15.573563075290497;PM10;17526;17568;µg/m3
