code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
DE26;Unterfranken;DE26;Schweinfurt;22.100180135102487;NO2;26281;26352;µg/m3
DE26;Unterfranken;DE26;Wurzburg;22.100180135102487;NO2;26281;26352;µg/m3
DE26;Unterfranken;DE26;Wurzburg;0.2770238051421072;CO;8761;8784;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;9.569260758480551;NO;26281;26352;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;9.569260758480551;NO;26281;26352;µg/m3
DE26;Unterfranken;DE26;Wurzburg;9.569260758480551;NO;26281;26352;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;15.773411485994917;PM10;26121;26352;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;44.64779270633397;O3;8336;8784;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;18.938677860623496;NO2;17033;17568;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;0.2212224437077877;CO;8528;8784;µg/m3
NL31;Utrecht;NL31;Utrecht;16.42561668846612;PM10;17302;17568;µg/m3
NL31;Utrecht;NL31;Utrecht;46.70038797715441;O3;25826;26352;µg/m3
NL31;Utrecht;NL31;Utrecht;18.97249510288612;NO2;26055;26352;µg/m3
NL31;Utrecht;NL31;Utrecht;6.064454633665913;NO;26056;26352;µg/m3
DED4;Chemnitz;DED4;Chemnitz;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Plauen;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Zwickau;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Chemnitz;52.5148784622259;O3;13379;17568;µg/m3
DED4;Chemnitz;DED4;Plauen;52.5148784622259;O3;13379;17568;µg/m3
DED4;Chemnitz;DED4;Chemnitz;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Plauen;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Zwickau;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Chemnitz;12.11632596632688;NO;34853;35136;µg/m3
DED4;Chemnitz;DED4;Plauen;12.11632596632688;NO;34853;35136;µg/m3
DED4;Chemnitz;DED4;Zwickau;12.11632596632688;NO;34853;35136;µg/m3
ITI3;Marche;ITI3;Ancona;3.849223065360104;SO2;17183;17568;µg/m3
ITI3;Marche;ITI3;Ancona;23.12901644219436;PM10;31620;35136;µg/m3
ITI3;Marche;ITI3;Pesaro;23.12901644219436;PM10;31620;35136;µg/m3
ITI3;Marche;ITI3;Ancona;48.37822290015718;O3;16949;17568;µg/m3
ITI3;Marche;ITI3;Pesaro;48.37822290015718;O3;16949;17568;µg/m3
ITI3;Marche;ITI3;Ancona;20.95836219232618;NO2;25119;26352;µg/m3
ITI3;Marche;ITI3;Pesaro;20.95836219232618;NO2;25119;26352;µg/m3
ITI3;Marche;ITI3;Ancona;0.6859384124023504;CO;25687;26352;µg/m3
ITI3;Marche;ITI3;Pesaro;0.6859384124023504;CO;25687;26352;µg/m3
DEB1;Koblenz;DEB1;Koblenz;1.07278550344596;SO2;8677;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;15.15440725249033;PM10;8248;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;40.679039497861815;O3;8685;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;30.21209896411407;NO2;17684;17823;µg/m3
DEB1;Koblenz;DEB1;Koblenz;0.2352318319183297;CO;8669;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;16.333868355835204;NO;17433;17568;µg/m3
ITC3;Liguria;ITC3;Genova;4.5797412950423295;SO2;49787;52704;µg/m3
ITC3;Liguria;ITC3;La Spezia;4.5797412950423295;SO2;49787;52704;µg/m3
ITC3;Liguria;ITC3;Sanremo;4.5797412950423295;SO2;49787;52704;µg/m3
ITC3;Liguria;ITC3;Savona;4.5797412950423295;SO2;49787;52704;µg/m3
